troll,pagerank
TEN_GOP,10.45889688
TheFoundingSon,8.349595821
GiselleEvns,6.532926353
tpartynews,6.378540491
ChrixMorgan,4.263299376
NotRitaHart,3.987039394
BlackToLive,3.91691873
DanaGeezus,3.33467256
gloed_up,2.745670495
DaileyJadon,2.196438375
Pamela_Moore13,2.029332612
RealTEN_GOP,1.841650907
March_for_Trump,1.824964917
DominicValent,1.783182876
MelvinSRoberts,1.773946353
CassieWeltch,1.732088689
Jasper_Fly,1.519149533
queenofthewo,1.493557844
KathieMrr,1.459334111
mr_clampin,1.455408808
traceyhappymom,1.306802751
pureDavie,1.260347325
rightnpr,1.045562222
Pati_Cooper,1.004906258
MalloryJared,0.9670544